INDEKSAS,PAVAD,LIDAR_LAZ
51/70,PABALIŲ BOTANINIS DRAUSTINIS,https://www.geoportal.lt/download/lidar_data/2026/51_70.zip
39/69,REIVYČIAI,https://www.geoportal.lt/download/lidar_data/2026/39_69.zip
40/69,URVIKIAI,https://www.geoportal.lt/download/lidar_data/2026/40_69.zip
41/69,AUKSŪDYS,https://www.geoportal.lt/download/lidar_data/2026/41_69.zip
42/69,Gelež. stotelė LAIŽUVA,https://www.geoportal.lt/download/lidar_data/2026/42_69.zip
43/69,JUČIAI,https://www.geoportal.lt/download/lidar_data/2026/43_69.zip
44/69,KIVYLIAI,https://www.geoportal.lt/download/lidar_data/2026/44_69.zip
45/69,KLYKOLIAI,https://www.geoportal.lt/download/lidar_data/2026/45_69.zip
46/69,RAMUČIAI,https://www.geoportal.lt/download/lidar_data/2026/46_69.zip
47/69,VĖLAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/47_69.zip
49/69,ŽIURIAI,https://www.geoportal.lt/download/lidar_data/2026/49_69.zip
50/69,ŽAGARĖ,https://www.geoportal.lt/download/lidar_data/2026/50_69.zip
51/69,STUNGIAI,https://www.geoportal.lt/download/lidar_data/2026/51_69.zip
52/69,BANDORIAI,https://www.geoportal.lt/download/lidar_data/2026/52_69.zip
53/69,DVELAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/53_69.zip
54/69,PLATONIAI,https://www.geoportal.lt/download/lidar_data/2026/54_69.zip
41/68,PURVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/41_68.zip
42/68,ANTANAVA,https://www.geoportal.lt/download/lidar_data/2026/42_68.zip
43/68,AGLUONAI,https://www.geoportal.lt/download/lidar_data/2026/43_68.zip
44/68,LYGEIKIAI,https://www.geoportal.lt/download/lidar_data/2026/44_68.zip
45/68,GAUDŽIOČIAI,https://www.geoportal.lt/download/lidar_data/2026/45_68.zip
48/68,JAUTMALKIAI,https://www.geoportal.lt/download/lidar_data/2026/48_68.zip
49/68,MINČAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/49_68.zip
53/68,ALSIAI,https://www.geoportal.lt/download/lidar_data/2026/53_68.zip
54/68,DAUNORIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/54_68.zip
41/67,PAKALUPIS,https://www.geoportal.lt/download/lidar_data/2026/41_67.zip
42/67,AŠVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/42_67.zip
43/67,PADVARĖLIAI,https://www.geoportal.lt/download/lidar_data/2026/43_67.zip
44/67,AKMENĖ,https://www.geoportal.lt/download/lidar_data/2026/44_67.zip
48/67,LAUMĖNAI II,https://www.geoportal.lt/download/lidar_data/2026/48_67.zip
49/67,GAIŽAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/49_67.zip
50/67,DAMELIAI,https://www.geoportal.lt/download/lidar_data/2026/50_67.zip
51/67,MAŽELIAI,https://www.geoportal.lt/download/lidar_data/2026/51_67.zip
52/67,REIBINIAI,https://www.geoportal.lt/download/lidar_data/2026/52_67.zip
53/67,BERTAUČIAI,https://www.geoportal.lt/download/lidar_data/2026/53_67.zip
54/67,ŽADVAINIAI,https://www.geoportal.lt/download/lidar_data/2026/54_67.zip
41/66,VIEKŠNIAI,https://www.geoportal.lt/download/lidar_data/2026/41_66.zip
42/66,PALNOSAI,https://www.geoportal.lt/download/lidar_data/2026/42_66.zip
43/66,VENTA (šiaurė),https://www.geoportal.lt/download/lidar_data/2026/43_66.zip
44/66,AKMENĖ I,https://www.geoportal.lt/download/lidar_data/2026/44_66.zip
45/66,ŠVENTUPIAI,https://www.geoportal.lt/download/lidar_data/2026/45_66.zip
46/66,RUDAUSIAI,https://www.geoportal.lt/download/lidar_data/2026/46_66.zip
47/66,KRUOPIAI,https://www.geoportal.lt/download/lidar_data/2026/47_66.zip
48/66,KARNIŠKĖS,https://www.geoportal.lt/download/lidar_data/2026/48_66.zip
49/66,MIKAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/49_66.zip
50/66,JUODEIKIAI,https://www.geoportal.lt/download/lidar_data/2026/50_66.zip
51/66,JURDAIČIAI (vakarai),https://www.geoportal.lt/download/lidar_data/2026/51_66.zip
52/66,JURDAIČIAI (rytai),https://www.geoportal.lt/download/lidar_data/2026/52_66.zip
53/66,MALDENIAI,https://www.geoportal.lt/download/lidar_data/2026/53_66.zip
54/66,KALNELIS,https://www.geoportal.lt/download/lidar_data/2026/54_66.zip
41/65,KAPĖNAI,https://www.geoportal.lt/download/lidar_data/2026/41_65.zip
42/65,RAMONIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/42_65.zip
43/65,VENTA (pietūs),https://www.geoportal.lt/download/lidar_data/2026/43_65.zip
44/65,KALNIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/44_65.zip
45/65,EGLESIAI,https://www.geoportal.lt/download/lidar_data/2026/45_65.zip
46/65,DRAGINIAI,https://www.geoportal.lt/download/lidar_data/2026/46_65.zip
47/65,MAŽAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/47_65.zip
48/65,ŽARĖNAI,https://www.geoportal.lt/download/lidar_data/2026/48_65.zip
52/65,STANELIAI,https://www.geoportal.lt/download/lidar_data/2026/52_65.zip
53/65,LINKAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/53_65.zip
54/65,KIRNAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/54_65.zip
41/64,SAVARINA,https://www.geoportal.lt/download/lidar_data/2026/41_64.zip
42/64,KAIRIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/42_64.zip
43/64,ŠIAUDINĖ,https://www.geoportal.lt/download/lidar_data/2026/43_64.zip
44/64,PAPILĖ,https://www.geoportal.lt/download/lidar_data/2026/44_64.zip
45/64,DAUBIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/45_64.zip
46/64,KLAIŠIAI,https://www.geoportal.lt/download/lidar_data/2026/46_64.zip
47/64,AUKSUČIAI,https://www.geoportal.lt/download/lidar_data/2026/47_64.zip
48/64,TULMINAI,https://www.geoportal.lt/download/lidar_data/2026/48_64.zip
49/64,PIKTUIŽIAI,https://www.geoportal.lt/download/lidar_data/2026/49_64.zip
52/64,RUDIŠKIAI (vakarai),https://www.geoportal.lt/download/lidar_data/2026/52_64.zip
53/64,RUDIŠKIAI (rytai),https://www.geoportal.lt/download/lidar_data/2026/53_64.zip
54/64,GATAUČIAI,https://www.geoportal.lt/download/lidar_data/2026/54_64.zip
41/63,DIRMEIKIAI,https://www.geoportal.lt/download/lidar_data/2026/41_63.zip
42/63,TRYŠKIAI (šiaurė),https://www.geoportal.lt/download/lidar_data/2026/42_63.zip
43/63,MICKIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/43_63.zip
44/63,BILIŪNIŠKĖS,https://www.geoportal.lt/download/lidar_data/2026/44_63.zip
45/63,ŽILIAI,https://www.geoportal.lt/download/lidar_data/2026/45_63.zip
46/63,PAKŠTELIAI,https://www.geoportal.lt/download/lidar_data/2026/46_63.zip
47/63,KUŠLEIKIAI,https://www.geoportal.lt/download/lidar_data/2026/47_63.zip
48/63,EGĖLIŠKĖS,https://www.geoportal.lt/download/lidar_data/2026/48_63.zip
49/63,ŠIUPYLIAI,https://www.geoportal.lt/download/lidar_data/2026/49_63.zip
50/63,GRUZDŽIAI,https://www.geoportal.lt/download/lidar_data/2026/50_63.zip
51/63,VALDOMAI,https://www.geoportal.lt/download/lidar_data/2026/51_63.zip
52/63,GAVĖNAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/52_63.zip
53/63,MEŠKUIČIAI,https://www.geoportal.lt/download/lidar_data/2026/53_63.zip
54/63,MEKIAI,https://www.geoportal.lt/download/lidar_data/2026/54_63.zip
41/62,JUODĖJAI,https://www.geoportal.lt/download/lidar_data/2026/41_62.zip
42/62,TRYŠKIAI (pietūs),https://www.geoportal.lt/download/lidar_data/2026/42_62.zip
43/62,GELŽĖ,https://www.geoportal.lt/download/lidar_data/2026/43_62.zip
44/62,ŠVENDRIAI,https://www.geoportal.lt/download/lidar_data/2026/44_62.zip
45/62,SVIRBŪTĖS,https://www.geoportal.lt/download/lidar_data/2026/45_62.zip
46/62,GEDINTĖS,https://www.geoportal.lt/download/lidar_data/2026/46_62.zip
47/62,DRĄSUČIAI,https://www.geoportal.lt/download/lidar_data/2026/47_62.zip
48/62,ZASTARČIAI,https://www.geoportal.lt/download/lidar_data/2026/48_62.zip
49/62,VERBŪNAI,https://www.geoportal.lt/download/lidar_data/2026/49_62.zip
50/62,ŽIOGAI,https://www.geoportal.lt/download/lidar_data/2026/50_62.zip
51/62,RAČIAI,https://www.geoportal.lt/download/lidar_data/2026/51_62.zip
52/62,TAUTINIAI,https://www.geoportal.lt/download/lidar_data/2026/52_62.zip
53/62,Gelež. stotis MEŠKUIČIAI,https://www.geoportal.lt/download/lidar_data/2026/53_62.zip
54/62,BEINORAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/54_62.zip
41/61,UBIŠKĖ,https://www.geoportal.lt/download/lidar_data/2026/41_61.zip
42/61,VAINOČIAI,https://www.geoportal.lt/download/lidar_data/2026/42_61.zip
43/61,GIRKANTAI,https://www.geoportal.lt/download/lidar_data/2026/43_61.zip
44/61,RAUDĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_61.zip
45/61,SKAČIAI,https://www.geoportal.lt/download/lidar_data/2026/45_61.zip
46/61,KURŠĖNAI,https://www.geoportal.lt/download/lidar_data/2026/46_61.zip
47/61,GARGŽDELIAI,https://www.geoportal.lt/download/lidar_data/2026/47_61.zip
48/61,AMALIAI,https://www.geoportal.lt/download/lidar_data/2026/48_61.zip
49/61,KUŽIAI,https://www.geoportal.lt/download/lidar_data/2026/49_61.zip
50/61,JURGAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/50_61.zip
51/61,BRIDAI,https://www.geoportal.lt/download/lidar_data/2026/51_61.zip
53/61,NAISIAI,https://www.geoportal.lt/download/lidar_data/2026/53_61.zip
54/61,SEREIKIAI,https://www.geoportal.lt/download/lidar_data/2026/54_61.zip
41/60,PAŠKUVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/41_60.zip
42/60,KAUNATAVA,https://www.geoportal.lt/download/lidar_data/2026/42_60.zip
43/60,UPYNA,https://www.geoportal.lt/download/lidar_data/2026/43_60.zip
44/60,DIRVONĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_60.zip
45/60,LAPKASIAI,https://www.geoportal.lt/download/lidar_data/2026/45_60.zip
46/60,KETŪNAI,https://www.geoportal.lt/download/lidar_data/2026/46_60.zip
47/60,SMILGIAI,https://www.geoportal.lt/download/lidar_data/2026/47_60.zip
48/60,GILAIČIAI,https://www.geoportal.lt/download/lidar_data/2026/48_60.zip
49/60,KUPRIAI,https://www.geoportal.lt/download/lidar_data/2026/49_60.zip
50/60,VIJOLIAI,https://www.geoportal.lt/download/lidar_data/2026/50_60.zip
51/60,ŠIAULIAI - GUBERNIJA,https://www.geoportal.lt/download/lidar_data/2026/51_60.zip
52/60,GINKŪNAI,https://www.geoportal.lt/download/lidar_data/2026/52_60.zip
53/60,LIUTKŪNAI,https://www.geoportal.lt/download/lidar_data/2026/53_60.zip
54/60,DEGUČIAI,https://www.geoportal.lt/download/lidar_data/2026/54_60.zip
41/59,LUOKĖ,https://www.geoportal.lt/download/lidar_data/2026/41_59.zip
42/59,KIRKLIAI,https://www.geoportal.lt/download/lidar_data/2026/42_59.zip
43/59,GINTENIAI,https://www.geoportal.lt/download/lidar_data/2026/43_59.zip
44/59,LEIČIAI,https://www.geoportal.lt/download/lidar_data/2026/44_59.zip
45/59,URKUVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/45_59.zip
46/59,UŽKALNIAI,https://www.geoportal.lt/download/lidar_data/2026/46_59.zip
41/58,VIEKŠNALIAI,https://www.geoportal.lt/download/lidar_data/2026/41_58.zip
42/58,GAULĖNAI,https://www.geoportal.lt/download/lidar_data/2026/42_58.zip
43/58,VIDSODIS,https://www.geoportal.lt/download/lidar_data/2026/43_58.zip
44/58,AUNUVĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_58.zip
45/58,KALNIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/45_58.zip
46/58,VARPUTĖNAI,https://www.geoportal.lt/download/lidar_data/2026/46_58.zip
41/57,MIKSODIS,https://www.geoportal.lt/download/lidar_data/2026/41_57.zip
42/57,MINUPIAI,https://www.geoportal.lt/download/lidar_data/2026/42_57.zip
43/57,VOLUNGIAI,https://www.geoportal.lt/download/lidar_data/2026/43_57.zip
44/57,UŠNĖNAI,https://www.geoportal.lt/download/lidar_data/2026/44_57.zip
45/57,ŠAUKĖNAI,https://www.geoportal.lt/download/lidar_data/2026/45_57.zip
46/57,ŠUKIŠKIAI,https://www.geoportal.lt/download/lidar_data/2026/46_57.zip
